"parent","child","parentrated","childrated"
100,101,"Distrust","Distrust"
101,103,"Distrust","Trust"
80,25,"Distrust","Distrust"
100,60,"Distrust","Trust"
39,4,"Distrust","Distrust"
4,39,"Distrust","Trust"
41,105,"Distrust","Distrust"
72,4,"Distrust","Trust"
96,106,"Distrust","Distrust"
106,96,"Distrust","Trust"
81,107,"Distrust","Distrust"
107,81,"Distrust","Trust"
60,108,"Distrust","Distrust"
108,60,"Distrust","Trust"
97,68,"Distrust","Distrust"
68,97,"Distrust","Trust"
96,107,"Distrust","Distrust"
7,109,"Distrust","Trust"
109,7,"Distrust","Distrust"
41,110,"Distrust","Trust"
41,68,"Distrust","Distrust"
68,41,"Distrust","Trust"
107,96,"Distrust","Distrust"
23,7,"Distrust","Trust"
7,111,"Distrust","Distrust"
111,7,"Distrust","Trust"
64,112,"Distrust","Distrust"
112,64,"Distrust","Trust"
112,77,"Distrust","Distrust"
112,115,"Distrust","Trust"
112,60,"Distrust","Distrust"
60,112,"Distrust","Trust"
109,39,"Distrust","Distrust"
39,109,"Distrust","Trust"
6,114,"Distrust","Distrust"
114,39,"Distrust","Trust"
6,32,"Distrust","Distrust"
39,114,"Distrust","Trust"
47,7,"Distrust","Distrust"
1,119,"Distrust","Trust"
119,1,"Trust","Distrust"
100,1,"Distrust","Trust"
100,7,"Distrust","Distrust"
7,100,"Distrust","Trust"
7,47,"Distrust","Distrust"
7,122,"Distrust","Trust"
122,7,"Distrust","Distrust"
23,108,"Distrust","Trust"
108,23,"Distrust","Distrust"
108,104,"Distrust","Trust"
104,108,"Distrust","Distrust"
60,56,"Distrust","Trust"
115,77,"Distrust","Distrust"
119,127,"Trust","Trust"
119,25,"Distrust","Distrust"
1,2,"Trust","Trust"
1,76,"Distrust","Distrust"
76,1,"Distrust","Trust"
1,23,"Trust","Distrust"
54,129,"Distrust","Trust"
116,7,"Distrust","Distrust"
7,116,"Distrust","Trust"
54,13,"Distrust","Distrust"
13,54,"Distrust","Trust"
77,39,"Distrust","Distrust"
77,15,"Distrust","Trust"
77,6,"Distrust","Distrust"
77,1,"Distrust","Trust"
77,23,"Distrust","Distrust"
77,28,"Distrust","Trust"
77,115,"Distrust","Distrust"
77,112,"Distrust","Trust"
77,131,"Distrust","Distrust"
77,61,"Distrust","Trust"
129,54,"Distrust","Distrust"
54,2,"Distrust","Trust"
2,54,"Distrust","Distrust"
127,119,"Trust","Trust"
127,132,"Distrust","Distrust"
132,127,"Distrust","Trust"
7,133,"Distrust","Distrust"
133,7,"Distrust","Trust"
105,41,"Distrust","Distrust"
41,64,"Distrust","Trust"
64,41,"Distrust","Distrust"
57,110,"Distrust","Trust"
113,125,"Distrust","Distrust"
125,113,"Distrust","Trust"
54,7,"Trust","Distrust"
7,54,"Distrust","Trust"
113,23,"Distrust","Distrust"
113,135,"Distrust","Trust"
135,113,"Distrust","Distrust"
78,36,"Distrust","Trust"
36,78,"Distrust","Distrust"
2,132,"Distrust","Trust"
132,2,"Distrust","Distrust"
96,15,"Distrust","Trust"
110,57,"Distrust","Distrust"
110,41,"Distrust","Trust"
132,28,"Distrust","Distrust"
28,132,"Distrust","Trust"
111,1,"Distrust","Distrust"
132,134,"Distrust","Trust"
134,132,"Distrust","Distrust"
132,100,"Distrust","Trust"
100,132,"Distrust","Distrust"
41,137,"Distrust","Trust"
15,96,"Distrust","Distrust"
137,41,"Distrust","Trust"
7,137,"Distrust","Distrust"
137,7,"Distrust","Trust"
1,138,"Distrust","Distrust"
138,1,"Distrust","Trust"
132,138,"Distrust","Distrust"
138,132,"Distrust","Trust"
100,111,"Distrust","Distrust"
111,100,"Distrust","Trust"
100,64,"Distrust","Distrust"
64,100,"Distrust","Trust"
41,140,"Distrust","Distrust"
140,41,"Distrust","Trust"
7,60,"Distrust","Distrust"
60,100,"Distrust","Trust"
7,141,"Distrust","Distrust"
141,134,"Distrust","Trust"
134,141,"Distrust","Distrust"
141,7,"Distrust","Trust"
132,21,"Distrust","Distrust"
139,132,"Distrust","Trust"
132,139,"Distrust","Distrust"
78,132,"Distrust","Trust"
2,3,"Trust","Distrust"
132,142,"Distrust","Trust"
142,132,"Distrust","Distrust"
110,142,"Distrust","Trust"
1,110,"Distrust","Distrust"
110,1,"Distrust","Trust"
142,110,"Distrust","Distrust"
110,76,"Distrust","Trust"
2,142,"Distrust","Distrust"
142,2,"Distrust","Trust"
110,143,"Distrust","Distrust"
143,110,"Distrust","Trust"
75,132,"Distrust","Distrust"
110,134,"Distrust","Trust"
134,110,"Distrust","Distrust"
132,144,"Distrust","Trust"
144,132,"Distrust","Distrust"
1,145,"Distrust","Trust"
145,1,"Distrust","Distrust"
146,2,"Distrust","Trust"
60,147,"Distrust","Distrust"
41,148,"Distrust","Trust"
148,41,"Distrust","Distrust"
23,113,"Distrust","Trust"
21,132,"Distrust","Distrust"
93,81,"Distrust","Trust"
78,149,"Distrust","Distrust"
149,150,"Distrust","Trust"
150,149,"Distrust","Distrust"
132,75,"Distrust","Trust"
2,110,"Distrust","Distrust"
110,2,"Distrust","Trust"
110,144,"Distrust","Distrust"
144,110,"Distrust","Trust"
41,147,"Distrust","Distrust"
147,41,"Distrust","Trust"
132,152,"Distrust","Distrust"
104,153,"Distrust","Trust"
81,93,"Distrust","Distrust"
152,154,"Distrust","Trust"
154,152,"Distrust","Distrust"
152,75,"Distrust","Trust"
110,155,"Distrust","Distrust"
132,156,"Distrust","Trust"
156,132,"Distrust","Distrust"
132,113,"Distrust","Trust"
113,132,"Distrust","Distrust"
155,110,"Distrust","Trust"
41,157,"Distrust","Distrust"
157,41,"Distrust","Trust"
149,132,"Distrust","Distrust"
132,149,"Distrust","Trust"
113,158,"Distrust","Distrust"
158,113,"Distrust","Trust"
56,7,"Distrust","Distrust"
7,56,"Distrust","Trust"
41,132,"Distrust","Distrust"
153,104,"Distrust","Trust"
132,41,"Distrust","Distrust"
114,1,"Distrust","Trust"
1,114,"Distrust","Distrust"
1,111,"Distrust","Trust"
60,160,"Distrust","Distrust"
160,60,"Distrust","Trust"
114,149,"Distrust","Distrust"
149,114,"Distrust","Trust"
114,146,"Distrust","Distrust"
78,146,"Distrust","Trust"
146,78,"Distrust","Distrust"
122,78,"Distrust","Trust"
132,78,"Distrust","Distrust"
146,114,"Distrust","Trust"
114,21,"Distrust","Distrust"
7,161,"Distrust","Trust"
161,7,"Distrust","Distrust"
21,114,"Distrust","Trust"
132,104,"Distrust","Distrust"
104,132,"Distrust","Trust"
132,157,"Distrust","Distrust"
157,132,"Distrust","Trust"
1,7,"Trust","Distrust"
7,1,"Trust","Trust"
132,162,"Distrust","Distrust"
162,132,"Distrust","Trust"
41,163,"Distrust","Distrust"
163,41,"Distrust","Trust"
41,162,"Distrust","Distrust"
162,41,"Distrust","Trust"
2,149,"Distrust","Distrust"
149,2,"Distrust","Trust"
75,41,"Distrust","Distrust"
143,81,"Distrust","Trust"
143,80,"Distrust","Distrust"
80,143,"Distrust","Trust"
1,165,"Distrust","Distrust"
165,1,"Distrust","Trust"
152,166,"Distrust","Distrust"
166,152,"Distrust","Trust"
2,166,"Distrust","Distrust"
166,2,"Distrust","Trust"
110,104,"Distrust","Distrust"
41,167,"Distrust","Trust"
167,41,"Distrust","Distrust"
41,168,"Distrust","Trust"
168,41,"Distrust","Distrust"
132,169,"Distrust","Trust"
169,132,"Distrust","Distrust"
81,149,"Distrust","Trust"
142,170,"Distrust","Distrust"
170,142,"Distrust","Trust"
45,171,"Distrust","Distrust"
171,45,"Distrust","Trust"
64,166,"Distrust","Distrust"
166,64,"Distrust","Trust"
113,166,"Distrust","Distrust"
166,113,"Distrust","Trust"
60,104,"Distrust","Distrust"
60,172,"Distrust","Trust"
64,3,"Distrust","Distrust"
113,173,"Distrust","Trust"
173,113,"Distrust","Distrust"
41,174,"Distrust","Trust"
172,60,"Distrust","Distrust"
166,156,"Distrust","Trust"
156,166,"Distrust","Distrust"
175,7,"Distrust","Trust"
45,176,"Distrust","Distrust"
161,144,"Distrust","Trust"
144,161,"Distrust","Distrust"
7,166,"Distrust","Trust"
161,177,"Distrust","Distrust"
177,161,"Distrust","Trust"
149,129,"Distrust","Distrust"
129,149,"Distrust","Trust"
144,178,"Distrust","Distrust"
178,144,"Distrust","Trust"
75,1,"Distrust","Distrust"
75,179,"Distrust","Trust"
179,75,"Distrust","Distrust"
75,62,"Distrust","Trust"
62,75,"Distrust","Distrust"
143,173,"Distrust","Trust"
149,173,"Distrust","Distrust"
173,149,"Distrust","Trust"
173,143,"Distrust","Distrust"
166,180,"Distrust","Trust"
180,166,"Distrust","Distrust"
174,41,"Distrust","Trust"
149,81,"Distrust","Distrust"
144,143,"Distrust","Trust"
143,144,"Distrust","Distrust"
60,148,"Distrust","Trust"
148,60,"Distrust","Distrust"
2,156,"Distrust","Trust"
156,2,"Distrust","Distrust"
1,19,"Trust","Trust"
132,181,"Distrust","Distrust"
181,132,"Distrust","Trust"
135,181,"Distrust","Distrust"
181,135,"Distrust","Trust"
132,159,"Distrust","Distrust"
159,132,"Distrust","Trust"
135,143,"Distrust","Distrust"
143,135,"Distrust","Trust"
148,182,"Distrust","Distrust"
182,148,"Distrust","Trust"
144,181,"Distrust","Distrust"
181,144,"Distrust","Trust"
181,183,"Distrust","Distrust"
183,181,"Distrust","Trust"
143,183,"Distrust","Distrust"
183,143,"Distrust","Trust"
142,64,"Distrust","Distrust"
64,142,"Distrust","Trust"
184,7,"Distrust","Distrust"
7,184,"Distrust","Trust"
80,7,"Distrust","Distrust"
7,78,"Distrust","Trust"
78,7,"Distrust","Distrust"
147,179,"Distrust","Trust"
179,147,"Distrust","Distrust"
7,185,"Distrust","Trust"
185,7,"Distrust","Distrust"
176,45,"Distrust","Trust"
183,186,"Distrust","Distrust"
186,183,"Distrust","Trust"
135,187,"Distrust","Distrust"
187,135,"Distrust","Trust"
33,7,"Distrust","Distrust"
7,33,"Distrust","Trust"
78,144,"Distrust","Distrust"
7,188,"Distrust","Trust"
188,7,"Distrust","Distrust"
104,189,"Distrust","Trust"
189,104,"Distrust","Distrust"
104,190,"Distrust","Trust"
190,104,"Distrust","Distrust"
104,110,"Distrust","Trust"
104,191,"Distrust","Distrust"
191,104,"Distrust","Trust"
104,113,"Distrust","Distrust"
113,104,"Distrust","Trust"
6,173,"Distrust","Distrust"
110,7,"Distrust","Trust"
104,171,"Distrust","Distrust"
171,104,"Distrust","Trust"
143,192,"Distrust","Distrust"
192,143,"Distrust","Trust"
60,159,"Distrust","Distrust"
159,60,"Distrust","Trust"
2,1,"Trust","Distrust"
57,25,"Distrust","Trust"
60,178,"Distrust","Distrust"
7,35,"Distrust","Trust"
60,193,"Distrust","Distrust"
193,60,"Distrust","Trust"
60,194,"Distrust","Distrust"
194,178,"Distrust","Trust"
194,60,"Distrust","Distrust"
178,194,"Distrust","Trust"
7,195,"Distrust","Distrust"
195,7,"Distrust","Trust"
29,60,"Distrust","Distrust"
62,196,"Distrust","Trust"
196,62,"Distrust","Distrust"
60,29,"Distrust","Trust"
60,191,"Distrust","Distrust"
7,156,"Distrust","Trust"
156,7,"Distrust","Distrust"
60,198,"Distrust","Trust"
60,199,"Distrust","Distrust"
199,60,"Distrust","Trust"
7,200,"Distrust","Distrust"
200,7,"Distrust","Trust"
132,198,"Distrust","Distrust"
198,132,"Distrust","Trust"
35,7,"Distrust","Distrust"
194,201,"Distrust","Trust"
201,194,"Distrust","Distrust"
100,202,"Distrust","Trust"
202,100,"Distrust","Distrust"
142,203,"Distrust","Trust"
203,142,"Distrust","Distrust"
7,204,"Distrust","Trust"
142,60,"Distrust","Distrust"
7,110,"Distrust","Trust"
60,205,"Distrust","Distrust"
206,201,"Distrust","Trust"
201,206,"Distrust","Distrust"
207,7,"Distrust","Trust"
200,62,"Distrust","Distrust"
60,75,"Distrust","Trust"
75,60,"Distrust","Distrust"
75,7,"Distrust","Trust"
60,209,"Distrust","Distrust"
7,210,"Distrust","Trust"
210,7,"Distrust","Distrust"
142,143,"Distrust","Trust"
143,142,"Distrust","Distrust"
60,142,"Distrust","Trust"
7,206,"Distrust","Distrust"
149,209,"Distrust","Trust"
120,7,"Distrust","Distrust"
7,207,"Distrust","Trust"
7,96,"Distrust","Distrust"
104,179,"Distrust","Trust"
200,179,"Distrust","Distrust"
149,179,"Distrust","Trust"
96,7,"Distrust","Distrust"
56,60,"Distrust","Trust"
202,211,"Distrust","Distrust"
200,13,"Distrust","Trust"
13,200,"Distrust","Distrust"
211,202,"Distrust","Trust"
104,149,"Distrust","Distrust"
149,104,"Distrust","Trust"
104,60,"Distrust","Distrust"
149,62,"Distrust","Trust"
167,211,"Distrust","Distrust"
206,7,"Distrust","Trust"
202,212,"Distrust","Distrust"
212,202,"Distrust","Trust"
212,209,"Distrust","Distrust"
60,212,"Distrust","Trust"
212,60,"Distrust","Distrust"
101,134,"Distrust","Trust"
60,213,"Distrust","Distrust"
213,60,"Distrust","Trust"
134,101,"Distrust","Distrust"
212,7,"Distrust","Trust"
212,132,"Distrust","Distrust"
212,29,"Distrust","Trust"
143,153,"Distrust","Distrust"
153,143,"Distrust","Trust"
35,110,"Distrust","Distrust"
135,214,"Distrust","Trust"
143,215,"Distrust","Distrust"
215,143,"Distrust","Trust"
29,212,"Distrust","Distrust"
7,212,"Distrust","Trust"
135,152,"Distrust","Distrust"
7,179,"Distrust","Trust"
39,149,"Distrust","Distrust"
149,39,"Distrust","Trust"
214,216,"Distrust","Distrust"
216,214,"Distrust","Trust"
174,112,"Distrust","Distrust"
153,202,"Distrust","Trust"
29,120,"Distrust","Distrust"
60,217,"Distrust","Trust"
60,218,"Distrust","Distrust"
218,60,"Distrust","Trust"
209,212,"Distrust","Distrust"
217,60,"Distrust","Trust"
217,3,"Distrust","Distrust"
135,179,"Distrust","Trust"
176,219,"Distrust","Distrust"
219,176,"Distrust","Trust"
219,110,"Distrust","Distrust"
176,220,"Distrust","Trust"
1,223,"Trust","Distrust"
60,1,"Trust","Trust"
60,7,"Trust","Distrust"
39,2,"Trust","Trust"
202,176,"Distrust","Distrust"
176,202,"Distrust","Trust"
60,224,"Distrust","Distrust"
1,225,"Distrust","Trust"
225,1,"Distrust","Distrust"
225,209,"Distrust","Trust"
29,1,"Distrust","Distrust"
29,219,"Distrust","Trust"
219,29,"Distrust","Distrust"
1,132,"Distrust","Trust"
1,227,"Distrust","Distrust"
227,1,"Distrust","Trust"
60,228,"Distrust","Distrust"
225,45,"Distrust","Trust"
60,214,"Distrust","Distrust"
199,185,"Distrust","Trust"
185,199,"Distrust","Distrust"
60,230,"Distrust","Trust"
60,231,"Distrust","Distrust"
231,60,"Distrust","Trust"
7,232,"Distrust","Distrust"
1,104,"Distrust","Trust"
104,1,"Distrust","Distrust"
33,1,"Trust","Trust"
62,149,"Distrust","Distrust"
29,171,"Distrust","Trust"
206,233,"Distrust","Distrust"
233,206,"Distrust","Trust"
232,7,"Distrust","Distrust"
60,208,"Distrust","Trust"
208,60,"Distrust","Distrust"
206,234,"Distrust","Trust"
234,206,"Distrust","Distrust"
235,7,"Distrust","Trust"
222,7,"Distrust","Distrust"
104,202,"Distrust","Trust"
202,104,"Distrust","Distrust"
202,236,"Distrust","Trust"
236,202,"Distrust","Distrust"
202,237,"Distrust","Trust"
237,202,"Trust","Distrust"
149,238,"Distrust","Trust"
238,149,"Distrust","Distrust"
39,239,"Distrust","Trust"
239,64,"Distrust","Distrust"
239,39,"Distrust","Trust"
202,135,"Distrust","Distrust"
135,202,"Distrust","Trust"
2,7,"Distrust","Distrust"
2,60,"Distrust","Trust"
2,62,"Trust","Distrust"
2,77,"Distrust","Trust"
7,2,"Distrust","Distrust"
7,39,"Distrust","Trust"
7,41,"Distrust","Distrust"
7,21,"Distrust","Trust"
7,72,"Distrust","Distrust"
7,62,"Trust","Trust"
208,62,"Distrust","Distrust"
206,240,"Distrust","Trust"
240,206,"Distrust","Distrust"
62,208,"Distrust","Trust"
231,241,"Distrust","Distrust"
39,143,"Distrust","Trust"
143,39,"Distrust","Distrust"
241,231,"Distrust","Trust"
60,242,"Trust","Distrust"
242,60,"Trust","Trust"
135,2,"Distrust","Distrust"
204,7,"Distrust","Trust"
1,64,"Distrust","Distrust"
64,1,"Distrust","Trust"
202,244,"Distrust","Distrust"
244,60,"Distrust","Trust"
202,56,"Distrust","Distrust"
56,202,"Distrust","Trust"
164,60,"Distrust","Distrust"
60,164,"Distrust","Trust"
204,80,"Distrust","Distrust"
56,114,"Distrust","Trust"
149,80,"Distrust","Distrust"
1,245,"Distrust","Trust"
241,80,"Distrust","Distrust"
35,246,"Distrust","Trust"
246,35,"Distrust","Distrust"
1,247,"Distrust","Trust"
247,1,"Distrust","Distrust"
80,241,"Distrust","Trust"
80,64,"Distrust","Distrust"
80,204,"Distrust","Trust"
80,149,"Distrust","Distrust"
80,81,"Trust","Trust"
228,60,"Distrust","Distrust"
72,21,"Distrust","Trust"
35,248,"Distrust","Distrust"
248,35,"Distrust","Trust"
244,245,"Distrust","Distrust"
245,244,"Distrust","Trust"
245,250,"Distrust","Distrust"
250,245,"Distrust","Trust"
60,251,"Distrust","Distrust"
60,250,"Distrust","Trust"
250,60,"Distrust","Distrust"
7,175,"Distrust","Trust"
166,206,"Distrust","Distrust"
206,166,"Distrust","Trust"
60,244,"Distrust","Distrust"
166,158,"Distrust","Trust"
215,249,"Distrust","Distrust"
249,215,"Distrust","Trust"
60,243,"Distrust","Distrust"
243,60,"Trust","Trust"
60,252,"Distrust","Distrust"
252,60,"Distrust","Trust"
253,95,"Distrust","Distrust"
143,7,"Distrust","Trust"
7,143,"Distrust","Distrust"
1,234,"Distrust","Trust"
234,1,"Distrust","Distrust"
251,245,"Distrust","Trust"
245,251,"Distrust","Distrust"
60,88,"Distrust","Trust"
88,60,"Distrust","Distrust"
88,104,"Distrust","Trust"
104,88,"Distrust","Distrust"
60,255,"Distrust","Trust"
255,60,"Distrust","Distrust"
29,251,"Distrust","Trust"
166,7,"Distrust","Distrust"
251,29,"Distrust","Trust"
251,60,"Distrust","Distrust"
251,1,"Distrust","Trust"
251,202,"Distrust","Distrust"
1,251,"Distrust","Trust"
164,163,"Distrust","Distrust"
206,256,"Distrust","Trust"
256,206,"Distrust","Distrust"
60,257,"Trust","Trust"
6,258,"Distrust","Distrust"
258,6,"Distrust","Trust"
64,219,"Distrust","Distrust"
258,259,"Distrust","Trust"
259,258,"Distrust","Distrust"
1,260,"Distrust","Trust"
7,260,"Distrust","Distrust"
1,261,"Distrust","Trust"
261,1,"Distrust","Distrust"
202,158,"Distrust","Trust"
256,153,"Distrust","Distrust"
202,240,"Distrust","Trust"
240,202,"Distrust","Distrust"
244,113,"Distrust","Trust"
244,114,"Distrust","Distrust"
207,262,"Distrust","Trust"
262,207,"Distrust","Distrust"
23,263,"Distrust","Trust"
60,264,"Distrust","Distrust"
60,265,"Distrust","Trust"
265,60,"Distrust","Distrust"
149,266,"Distrust","Trust"
266,149,"Distrust","Distrust"
35,267,"Distrust","Trust"
267,35,"Distrust","Distrust"
202,141,"Distrust","Trust"
141,202,"Distrust","Distrust"
6,268,"Distrust","Trust"
266,60,"Distrust","Distrust"
229,215,"Distrust","Trust"
215,229,"Distrust","Distrust"
141,41,"Distrust","Trust"
242,141,"Distrust","Distrust"
141,242,"Distrust","Trust"
215,221,"Distrust","Distrust"
268,6,"Distrust","Trust"
221,215,"Distrust","Distrust"
221,269,"Distrust","Trust"
269,221,"Distrust","Distrust"
269,3,"Distrust","Trust"
41,141,"Distrust","Distrust"
60,269,"Distrust","Trust"
153,7,"Distrust","Distrust"
249,167,"Distrust","Trust"
221,171,"Distrust","Distrust"
1,109,"Distrust","Trust"
202,230,"Distrust","Distrust"
171,221,"Distrust","Trust"
171,235,"Distrust","Distrust"
235,171,"Distrust","Trust"
64,7,"Distrust","Distrust"
177,1,"Distrust","Trust"
60,77,"Distrust","Distrust"
149,25,"Trust","Trust"
1,271,"Distrust","Distrust"
271,1,"Distrust","Trust"
221,272,"Distrust","Distrust"
272,221,"Distrust","Trust"
202,153,"Distrust","Distrust"
60,261,"Distrust","Trust"
261,60,"Distrust","Distrust"
60,273,"Distrust","Trust"
23,231,"Distrust","Distrust"
7,243,"Distrust","Trust"
230,202,"Distrust","Distrust"
144,78,"Distrust","Trust"
144,153,"Distrust","Distrust"
269,7,"Distrust","Trust"
7,269,"Distrust","Distrust"
1,274,"Distrust","Trust"
274,1,"Distrust","Distrust"
141,1,"Distrust","Trust"
1,141,"Distrust","Distrust"
141,273,"Distrust","Trust"
141,275,"Distrust","Distrust"
60,276,"Distrust","Trust"
276,60,"Distrust","Distrust"
141,256,"Distrust","Trust"
270,277,"Distrust","Distrust"
256,141,"Distrust","Trust"
277,270,"Distrust","Distrust"
202,127,"Distrust","Trust"
167,249,"Distrust","Distrust"
275,141,"Distrust","Trust"
221,202,"Distrust","Distrust"
202,221,"Distrust","Trust"
221,64,"Distrust","Distrust"
206,221,"Distrust","Trust"
221,206,"Distrust","Distrust"
273,60,"Distrust","Trust"
60,279,"Distrust","Distrust"
219,64,"Distrust","Trust"
219,109,"Distrust","Distrust"
219,21,"Distrust","Trust"
279,60,"Trust","Distrust"
202,278,"Distrust","Trust"
278,202,"Distrust","Distrust"
206,29,"Distrust","Trust"
29,206,"Distrust","Distrust"
280,281,"Distrust","Trust"
206,282,"Distrust","Distrust"
242,274,"Distrust","Trust"
282,206,"Distrust","Distrust"
283,284,"Trust","Trust"
7,240,"Distrust","Distrust"
7,285,"Distrust","Trust"
202,286,"Distrust","Distrust"
286,202,"Distrust","Trust"
256,287,"Distrust","Distrust"
287,256,"Distrust","Trust"
202,288,"Distrust","Distrust"
288,202,"Distrust","Trust"
